56.3 31.99 
57.32 7.26 
91.12 62.75 74.38 
22.72 7.18 20.36 
77.61 39.39 43.62 
65.11 19.02 80.59 

72.35 83.22 80.78 
17.17 97.26 51.92 
22.69 37.96 28.01 
21.9 58.53 81.84 
61.03 19.79 31.81 
14.91 95.84 89.46 
19.3 2.41 25.36 
49.38 8.52 49.86 
24.92 57.81 11.25 
54.88 54.09 19.61 
84.52 4.22 13.92 
64.42 99.05 47.35 
34.58 49.01 15.86 
53.32 3.75 88.56 
6.54 10.6 84.14 
1.29 79.7 60.99 
10.43 58.81 56.92 
68.41 0.21 70.61 
75.18 10.56 61.39 
95.24 79.55 47.49 
29.63 62.92 9.77 
64.86 22.8 15.04 
77.61 11.64 57.37 
14.11 77.92 52.11 
31.06 54.8 75.65 
30.12 40.19 11.16 
63.62 0.29 66.18 
88.22 91.26 14.75 
35.5 7.19 23.41 
67.09 30.05 42.54 
99.89 85.72 0.94 
46.55 31.63 37.65 
17.39 42.47 87.14 
50.75 64.99 40.8 
94.41 87.61 92.35 
34.86 7.43 7.41 
94.03 61.78 64.17 
33.4 8.64 72.76 
93.37 3.32 6.19 
42.6 11.11 17.32 
35.97 62.5 84.95 
14.11 7.51 2.76 
33.57 99.5 80.96 
1.98 72.57 23.75 
50.6 38.23 13.62 
54.09 15.03 64.11 
73.18 17.1 41.43 
42.64 49.71 91.89 
47.51 3.5 83.62 
19.53 44.39 50.53 
23.03 56.8 6.64 
90.25 80.31 43.14 
61.22 18.7 79.03 
68.15 16.48 99.12 
59.38 24.61 84.11 
86.65 30.98 6.38 
82.52 7.76 36.52 
64.29 48.31 82.15 
17.08 64.26 23.95 
82.38 50.47 1.29 
34.76 62.97 67.71 
10.84 15.45 54.5 
39.51 84.42 98.03 
10.75 64.64 40.54 
26.38 17.23 84.99 
23.71 20.04 18.03 
98.63 4.54 70.34 
94.54 40.99 32.23 
14.82 34.45 57.27 
46.74 2.87 62.19 
94.36 93.04 34.92 
63.24 99.46 91.62 
30.26 23.68 24.23 
11.02 54.61 23.79 
98.46 56.22 17.33 
69.81 55.09 34.29 
30.46 21.58 59.82 
83.47 7.09 75.39 
22.64 55.08 64.57 
91.26 46.2 19.27 
90.18 11.54 96.57 
24.74 20.88 4.09 
65.36 80.41 86.95 
77.15 29.31 42.68 
70.02 55.55 3.19 
85.68 30.05 78.02 
24.97 4.03 62.92 
74.34 8.41 47.52 
60.51 7.15 47.63 
15.72 58.73 18.65 
60.43 46.29 75.09 
4.74 13.02 15.88 
57.43 50.74 77.17 
34.59 87.9 1.41 
32.87 56.07 12.36 
5.9 44.42 43.8 
94.09 73.09 5.92 
31.47 23.29 96.74 
73.35 90.17 48.53 
61.26 74.83 68.45 
35.24 18.88 17.86 
Barbecue
93.17 4.46 93.54 
48.97 8.38 19.85 
25.58 11.25 71.44 
20.05 30.43 51.2 
83.81 28.15 7.59 
23.77 96.51 7.6 
83.76 33.17 28.13 
38.61 75.29 57.43 
43.43 86.74 72.95 
17.22 43.46 24.54 
39.82 63.32 23.81 
1.05 82.8 18.16 
16.12 67.3 31.04 
95.99 40 55.93 
30.4 43.59 57.33 
82.43 42.09 88.77 
39 82.3 15.68 
57.54 25.27 23.38 
92.15 22.36 85.5 
36.04 80.76 73.75 
60.03 85.24 45.16 
65.46 97.98 67.74 
28.82 69.39 88.16 
55.6 47.48 90.64 
17.13 22.7 77.48 
35.31 78.51 84.81 
72.3 94.18 0.64 
55.86 47.5 3.84 
55.8 73.02 83.78 
73.42 63.64 71.47 
11.82 20.22 3.86 
96.15 58.73 39.9 
8.76 22.15 55.62 
48.48 14.9 18.06 
28.78 72.08 15.08 
27.31 22.53 28.02 
66.61 61.33 30.9 
35.98 80.05 95.51 
47.68 21.73 33.7 
33.69 79.14 27.34 
33.53 60.61 2.66 
21.79 65.51 32.56 
95.53 13.74 68.12 
66.46 3.07 4.06 
86.29 74.83 63.02 
80.3 54.87 59.91 
53.78 47.13 99.89 
24.28 88.32 7.4 
38.54 76.88 32.59 
57.09 5.41 13.79 
87.55 33.88 31.56 
31.25 37.36 63.93 
55.49 84.58 32.59 
84.45 50.82 41.41 
47.27 80.64 13.86 
89.96 21.01 64.55 
66.41 54.12 73.46 
41.09 93.82 35.57 
57.52 51.39 56.49 
50.53 99.44 57.58 
84.29 53.57 59.73 
34.57 87.41 44.13 
36.71 64.15 95.02 
33.01 26.25 84.84 
63.19 5.27 46.01 
36.68 77.65 53.59 
29.86 54.53 13.55 
72.24 99.47 5.73 
4.28 95.09 23.76 
38.09 14.68 33.48 
84.15 3.23 10.07 
19.81 73.8 46.36 
61.66 90.71 72.37 
8.92 31.71 50.22 
54.43 72.98 37.01 
37.88 9.1 87.65 
98.23 89.04 71.47 
56.62 44.24 15.58 
92.02 33.55 55.8 
54.13 99.44 67.24 
0.61 25.65 44.32 
61.97 33.35 25.42 
46.33 70.32 8.37 
15.92 6.03 15.37 
80.33 26 83.91 
47.14 48.39 69.66 
93.87 74.12 33.6 
84.94 6.12 75.01 
65.56 59.62 5.31 
88.07 94.81 53.75 
3.81 95.62 39.91 
51.41 67.08 70.23 
25.07 74.05 68.41 
25.34 62.69 65.9 
53.58 18.22 88.48 
18.49 62.63 85.74 
61.55 35.56 25.5 
54.76 1.23 52.39 
20.94 57.97 43.89 
14.36 64.2 3.12 
67.79 88.12 67.82 
89.52 52.64 26.09 
2.04 38.51 10.97 
29.75 66.63 6.84 
53.48 60.78 74.24 
81.51 27.38 30.02 
36.98 12.27 97.71 
54.13 42.49 24.51 
25.02 7.06 3.49 
68.96 29.93 9.49 
65.84 7.17 24.59 
92.94 63.87 2.15 
34.64 47.43 19.19 
81.9 31.07 11.59 
89.16 70.41 40.84 
92.41 84.77 35.45 
7.51 8 94.08 
85.27 28.93 31.47 
67.04 57.55 7.24 
76.31 40.3 82.88 
8.87 4.7 6.35 
72.63 46.54 58.81 
60.59 76.09 63.9 
12.16 91.78 75.7 
24.16 13.29 16.74 
40.54 78.79 47.11 
98.57 38.25 19.42 
70.8 29.03 13.25 
96.96 90.28 0.47 
75.41 25.53 31.36 
40.36 7.25 75.45 
24.91 32.48 90.2 
99.8 69.6 2.68 
70.75 31.89 57.45 
4.3 35.95 37.23 
47.82 98.77 44.3 
2.82 53.47 89.89 
62.9 99.37 58.63 
37.27 94.61 57.1 
23.82 43.63 40.04 
54.87 44.38 83.71 
28.38 34.04 20.53 
18.27 68.15 13.45 
65.82 15.59 14.79 
99.93 27.41 85.31 
25.02 59.97 17.1 
14.3 70.05 42.48 
55.04 82.97 9.03 
20.12 9.42 31.78 
82.62 47 74.96 
42.29 71.88 14.54 
70.64 94.94 82.56 
23.79 52.71 66.69 
56.64 82.83 33.03 
35.43 83.56 80.5 
64.63 65.41 82.17 
84.25 6.53 58.08 
51.09 59.01 8.13 
66.19 39.7 6.61 
59.7 85.44 75.34 
80.57 40.14 57.58 
92.88 40.1 55.63 
41.71 52.3 68.68 
3.6 36.33 97.08 
97.68 15.2 63.66 
1.56 43.63 26.67 
